66.17771097827249,X1
6.679667453684454,X2 x X1
4.932620481412584,X1 x X0
3.3737009439097614,X4
3.2586790219592388,X4 x X1
2.3850278880031337,X2
1.0467817915341304,X8 x X1
0.624557238944249,X3 x X1
0.42665196159968966,X0
0.39440049095643936,X5 x X1
0.38296429197668164,X7 x X1
0.37700932549112104,X6 x X1
0.2955157877084246,X4 x X2
0.08332384534767963,X8 x X0
0.07651122111757826,X8
0.052454580915579745,X3 x X2
0.050141625228396026,X3
0.04850854287465182,X3 x X0
0.04377632745264201,X8 x X2
0.04015882244914955,X7 x X2
0.037776967408298924,X7 x X0
0.032964797150120635,X7
0.031862238431555764,X6 x X0
0.030068399205876038,X5 x X2
0.02964733376883265,X6 x X2
0.02906026747574787,X5 x X0
0.024298623357632824,X6
0.02288428845309835,X4 x X0
0.020902168783456514,X5
0.01647178257436089,X2 x X0
0.015137335670614168,X8 x X6
0.010457430372062874,X8 x X3
0.007781595135398489,X8 x X4
0.007318983672785184,X8 x X7
0.0063689462378003995,X7 x X3
0.006078946493946411,X8 x X5
0.004784933693823094,X7 x X4
0.004492635836952683,X7 x X5
0.0038530254373820134,X6 x X3
0.003750195593456979,X5 x X3
0.0032914344343548097,X4 x X3
0.003052810848404061,X7 x X6
0.0025397850688469808,X6 x X5
0.0022468345606467,X5 x X4
0.0017490943971158297,X6 x X4
