"","defaults","PSO","GA","EDA","RS","SMBO","Irace"
"plant-species-leaves-texture",0.502333333333333,0.508833333333333,0.470333333333333,0.494666666666667,0.512166666666667,0.503666666666667,0.501666666666667
"robot-nav-sensor-readings-4",0.999739583333333,0.999373421717172,0.999663825757576,0.999373421717172,0.999625946969697,0.999886706430824,0.999739583333333
"saheart",0.641599462365591,0.633855286738351,0.61445788530466,0.63611335125448,0.637226702508961,0.645120967741936,0.636857078853047
"seeds",0.911111111111111,0.907936507936508,0.893650793650794,0.903174603174603,0.903174603174603,0.89047619047619,0.906349206349206
"semeion",0.759793300653595,0.760183823529412,0.742075980392157,0.760864379084967,0.760126633986928,0.761330882352941,0.757001633986928
"statlog-german-credit",0.642142857142857,0.642222222222222,0.638650793650794,0.63984126984127,0.642619047619048,0.637857142857143,0.641269841269841
"statlog-heart",0.770833333333333,0.780277777777778,0.745277777777778,0.766944444444444,0.774722222222222,0.7675,0.804722222222222
"statlog-image-segmentation",0.96056376573618,0.959124247400109,0.952118226600985,0.954844006568144,0.959436234263821,0.962835249042146,0.960251778872468
"statlog-landsat-satellite",0.833667529174975,0.830318802383346,0.829059691619781,0.830063085741408,0.831304601417205,0.834494970640512,0.832764680437462
"statlog-vehicle-silhouettes",0.735245215311005,0.722961380724539,0.712252126528442,0.720967285638338,0.723813321181742,0.735985892762209,0.737455096073517
"steel-plates-faults",1,1,1,1,1,1,1
"teaching-assistant-evaluation",0.430555555555556,0.432407407407407,0.417592592592593,0.410185185185185,0.425925925925926,0.40462962962963,0.431481481481481
"texture",0.927978973407545,0.929997526283241,0.918342609771181,0.923839208410637,0.929808286951144,0.934575139146568,0.929009276437848
"thoracic-surgery",0.501011904761905,0.520416666666667,0.506071428571429,0.50172619047619,0.51875,0.505595238095238,0.514583333333333
"thyroid-allbp",0.460251358948676,0.45082592542134,0.442756803729019,0.435826143368377,0.448329086992171,0.450894843016967,0.439256495329101
"thyroid-allhyper",0.460251358948676,0.45082592542134,0.442756803729019,0.435826143368377,0.448329086992171,0.450894843016967,0.439256495329101
"user-knowledge",0.778335664335664,0.763592074592075,0.769258741258741,0.762993783993784,0.749660450660451,0.752778554778555,0.763121989121989
"vertebra-column-3c",0.766296296296296,0.748518518518518,0.75962962962963,0.751851851851852,0.751111111111111,0.748518518518518,0.772962962962963
"wine",0.918955026455026,0.891679894179894,0.882050264550265,0.881653439153439,0.894404761904762,0.912698412698413,0.915780423280423
"yeast-4class",0.621372648336995,0.638732446114457,0.648751395255072,0.639920060113545,0.654562654466297,0.622473399225793,0.645042806040669
