"","defaults","PSO","GA","EDA","RS","SMBO","Irace"
"acute-inflammations-nephritis",1,1,0.982222222222222,0.980555555555556,1,1,1
"analcatdata_authorship",0.932312646237892,0.913481495946234,0.893756931721521,0.904872055854847,0.919030059573576,0.908751937216612,0.925387825010118
"analcatdata_boxing1",0.838809523809524,0.770178571428571,0.734761904761905,0.731190476190476,0.780892857142857,0.814464285714286,0.806309523809524
"analcatdata_boxing2",0.821527777777778,0.823115079365079,0.79593253968254,0.811607142857143,0.830753968253968,0.800694444444444,0.84375
"analcatdata_creditscore",0.995535714285714,0.995535714285714,0.995535714285714,0.995535714285714,0.995535714285714,0.993154761904762,0.995535714285714
"analcatdata_dmft",0.105796857463524,0.163706509539843,0.15736531986532,0.167752525252525,0.16723063973064,0.156796737213404,0.152890011223345
"analcatdata_germangss",0.383333333333333,0.4075,0.401666666666667,0.3925,0.4175,0.418333333333333,0.418333333333333
"analcatdata_lawsuit",0.956444444444444,0.904388888888889,0.875388888888889,0.900444444444444,0.903805555555556,0.8975,0.885
"appendicitis",0.708796296296296,0.724537037037037,0.743287037037037,0.726388888888889,0.709722222222222,0.72662037037037,0.722453703703704
"artificial-characters",0.582178915991981,0.583402949107415,0.563897904806786,0.57811420405443,0.581125395169816,0.58598874460906,0.583556663448351
"autoUniv-au1-1000",0.64868286199793,0.644673900454722,0.648648885977653,0.649710430135088,0.645682975915853,0.668775866488195,0.650731239142198
"autoUniv-au4-2500",0.521622617062279,0.534853013497173,0.520978337085545,0.52150354211934,0.538584848160501,0.544184866292748,0.543343472689913
"autoUniv-au6-1000",0.188291812354312,0.202814685314685,0.201321063196063,0.204923513986014,0.198822439134939,0.20969437969438,0.221090795778296
"autoUniv-au6-250-drift-au6-cd1-500",0.158280909586057,0.188231014628073,0.194478972144413,0.203400832555244,0.186654606286959,0.195965900248988,0.210156444522253
"autoUniv-au6-cd1-400",0.259156144781145,0.238516414141414,0.240757575757576,0.232325336700337,0.239311868686869,0.258209175084175,0.236792929292929
"autoUniv-au7-300-drift-au7-cpd1-800",0.385106710732517,0.376517061552545,0.37752895234992,0.38354686341138,0.392634749181523,0.403001183881829,0.404767970798616
"autoUniv-au7-700",0.500608706108706,0.492989177489177,0.516654641654642,0.509708994708995,0.495789321789322,0.515284752284752,0.511857142857143
"autoUniv-au7-cpd1-500",0.449813852813853,0.432318751424015,0.381208779524569,0.388219184324447,0.425488569909623,0.428625781625782,0.428777220829852
"backache",0.513888888888889,0.539444444444444,0.490138888888889,0.510069444444444,0.499583333333333,0.507152777777778,0.523472222222222
"balance-scale",0.562164750957854,0.570120415982485,0.558366174055829,0.561390257252326,0.565968801313629,0.568527640941434,0.569066776135742
"banana",0.885989761973254,0.887214970483637,0.884352925807168,0.885077542824742,0.888623401841882,0.888127841070745,0.886094062564768
"bank-marketing",0.676430696661829,0.657223330914369,0.649572689888728,0.660904995162071,0.657887880986938,0.644390662796323,0.677011187711659
"banknote-authentication",0.985063010461618,0.982162141930837,0.982487107588163,0.983249525069646,0.982480279515986,0.984751043430585,0.985378062769709
"blood-transfusion-service",0.63873080136238,0.609358974358974,0.611019857335647,0.604908746224536,0.606940106676949,0.593758755864019,0.608042220936958
"breast-cancer-wisconsin",0.938430500658762,0.930259112867808,0.922614734299517,0.928112648221344,0.932627909530083,0.911876921387791,0.935430390865173
"breast-tissue-6class",0.341666666666667,0.294444444444444,0.313888888888889,0.3,0.298148148148148,0.248148148148148,0.300925925925926
"bupa",0.657456140350877,0.660142021720969,0.640568086883876,0.648801169590643,0.634793233082707,0.629761904761905,0.66547619047619
"car-evaluation",0.813464061191334,0.952151503467293,0.876221306604082,0.892004121609385,0.952184225928245,0.933526461576701,0.940299287368665
"cardiotocography-3class",0.976570635526258,0.976065585021208,0.972092591843,0.974983499801191,0.974995860583106,0.972954759921316,0.975749372715929
"climate-simulation-crashes",0.632527210884354,0.585860544217687,0.598187074829932,0.586166666666667,0.589227891156463,0.617581632653061,0.565452380952381
"cloud",0.279166666666667,0.304861111111111,0.313194444444444,0.33125,0.322916666666667,0.331944444444444,0.338194444444444
"cmc",0.471304550076685,0.517195111466057,0.503052971259013,0.508989295127535,0.510369348303397,0.531568739200246,0.523600636623414
"connectionist-mines-vs-rocks",0.744360269360269,0.731170033670034,0.723274410774411,0.71206228956229,0.732045454545455,0.709436026936027,0.700008417508417
"connectionist-vowel",0.796969696969697,0.824242424242424,0.715824915824916,0.79023569023569,0.822558922558922,0.824915824915825,0.812457912457912
"dermatology",0.924820226070226,0.934815416065416,0.912493987493987,0.925229677729678,0.934624218374218,0.947210197210197,0.931542207792208
"fertility-diagnosis",0.479398148148148,0.525231481481481,0.48125,0.509027777777778,0.503935185185185,0.514351851851852,0.492592592592593
"first-order-theorem",0.405109362183997,0.40430378458969,0.381824175846567,0.403271400037239,0.40393049548241,0.4037890838973,0.405308725877004
"flare",0.551258953918268,0.544681001188354,0.548505520895227,0.536504547105037,0.531931941968707,0.531193223080478,0.544671923483198
"habermans-survival",0.553373015873016,0.563293650793651,0.533134920634921,0.548710317460317,0.566765873015873,0.576289682539682,0.56140873015873
"hayes-roth",0.746296296296296,0.777777777777778,0.693518518518519,0.730555555555556,0.755555555555556,0.676851851851852,0.762962962962963
"heart-disease-processed-cleveland",0.304785947712418,0.286609477124183,0.297941176470588,0.297977124183007,0.307821895424837,0.30803431372549,0.303797385620915
"heart-disease-processed-hungarian",0.778818890660996,0.782793726741095,0.789733297891193,0.774106858054227,0.790504164451533,0.774233563707248,0.782332092858409
"heart-disease-processed-va",0.238,0.251,0.260777777777778,0.230777777777778,0.244222222222222,0.252111111111111,0.240333333333333
"heart-disease-reprocessed-hungarian",0.358245614035088,0.309727095516569,0.315155945419103,0.318723196881092,0.329171539961014,0.318898635477583,0.294171539961014
"hepatitis",0.611538461538461,0.626068376068376,0.624786324786325,0.612393162393162,0.612393162393162,0.652564102564103,0.587393162393162
"hill-valley-with-noise",0.5,0.528884335154827,0.525109289617486,0.529626593806922,0.516183970856102,0.530291438979964,0.528729508196721
"horse-colic-surgical",0.818062200956938,0.837527910685805,0.819346092503987,0.840318979266348,0.842384370015949,0.853066188197767,0.843189792663477
"indian-liver-patient",0.558389526542324,0.556050932568149,0.564210604973697,0.55941893830703,0.543624760879962,0.585677905308465,0.558498027259684
"ionosphere",0.890427688253775,0.88270624303233,0.883131482044526,0.876631701631702,0.870971419884463,0.875365697104828,0.887562497888585
"iris",0.955,0.941111111111111,0.947777777777778,0.949444444444444,0.943333333333333,0.940555555555556,0.955
"kr-vs-kp",0.992960759477477,0.993076354802383,0.986320258736923,0.991395158785343,0.993685005921198,0.993299468759482,0.993614867146522
"led7digit",0.265,0.243333333333333,0.245,0.253333333333333,0.266666666666667,0.267222222222222,0.266666666666667
"lsvt-voice-rehabilitation",0.718888888888889,0.673703703703704,0.709907407407407,0.675092592592593,0.669398148148148,0.714074074074074,0.689768518518519
"mammographic-mass",0.767241389116389,0.784567237692238,0.787087655837656,0.790544095231595,0.789781827281827,0.774102653790154,0.788822913822914
"meta-data",0.0268518518518519,0.0553240740740741,0.0502314814814815,0.0557870370370371,0.0564814814814815,0.0569444444444444,0.0592592592592593
"mfeat-fourier",0.757333333333333,0.764385964912281,0.752052631578947,0.75019298245614,0.756078947368421,0.756982456140351,0.76140350877193
"micro-mass-mixed-spectra",0.88,0.856944444444444,0.836944444444444,0.849444444444444,0.846111111111111,0.856666666666667,0.859722222222222
"molecular-promotor-gene",0.787777777777778,0.743888888888889,0.732777777777778,0.751111111111111,0.747777777777778,0.722777777777778,0.748888888888889
"molecular-splice-junction",0.930609403497585,0.936942506147897,0.935798679326346,0.937091007675223,0.937909776404863,0.936844503438324,0.937299086467454
"monks1",0.752813852813853,0.977200577200577,0.842243867243867,0.889249639249639,0.972727272727273,0.95494227994228,0.979473304473304
"monks2",0.5,0.943070607553366,0.710697865353038,0.623166392993979,0.945552818828681,0.969198139025725,0.881403940886699
"monks3",0.985852311939268,0.985127674258109,0.981504485852312,0.98440303657695,0.98440303657695,0.986418219461698,0.985852311939268
"movement-libras",0.618888888888889,0.619259259259259,0.568148148148148,0.573333333333333,0.615185185185185,0.598148148148148,0.628148148148148
"multiple-features",0.937078947368421,0.936271929824561,0.937780701754386,0.936254385964912,0.93909649122807,0.942991228070175,0.938254385964912
"mushroom",1,1,0.999659320249839,0.999914857247247,1,1,1
"nursery-4class",0.910536906220132,0.995224992306386,0.943992369370523,0.968846942183469,0.996891802268899,0.995964524897496,0.993533411000543
"optdigits",0.905927027600349,0.909776757725034,0.898482251213195,0.899330510183505,0.909537208355266,0.908533582519517,0.908530483078124
"ozone-eighthr",0.607153701518511,0.627999028582326,0.596353831438175,0.624707382774321,0.620172337242842,0.61722217752509,0.622694298433813
"ozone-onehr",0.59285976992423,0.580319119517726,0.537511614401858,0.558258807588076,0.580455173939495,0.559895055583209,0.585732536917206
"page-blocks",0.845243931892259,0.820684066149191,0.81428470503604,0.787752662766561,0.823084253509914,0.8033065442779,0.797971878428941
"parkinsons",0.777896825396825,0.77484126984127,0.744325396825397,0.771031746031746,0.722698412698413,0.746706349206349,0.773730158730159
"phoneme",0.840247412840694,0.844569242728935,0.829234385031045,0.83613681008857,0.842393015320685,0.849515791815489,0.84318059013061
"plant-species-leaves-margin",0.467833333333333,0.4755,0.419666666666667,0.465833333333333,0.47,0.500333333333333,0.475833333333333
"plant-species-leaves-shape",0.464166666666667,0.4575,0.409833333333333,0.451666666666667,0.461333333333333,0.4625,0.4605
