"","defaults","PSO","GA","EDA","RS","SMBO","Irace"
"acute-inflammations-nephritis",0.9725,0.980833333333333,0.980833333333333,0.980833333333333,0.980833333333333,0.980833333333333,0.980833333333333
"analcatdata_authorship",0.870172151004142,0.898556462745462,0.892571262762304,0.895263450856798,0.901706512516328,0.896411424746329,0.905087257295082
"analcatdata_boxing1",0.792738095238095,0.782321428571429,0.782321428571429,0.782738095238095,0.786488095238095,0.73452380952381,0.825535714285714
"analcatdata_boxing2",0.784722222222222,0.834623015873016,0.832242063492064,0.834623015873016,0.834623015873016,0.831150793650794,0.841369047619048
"analcatdata_creditscore",0.995535714285714,0.995535714285714,0.995535714285714,0.995535714285714,0.978869047619048,0.987301587301587,0.995535714285714
"analcatdata_dmft",0.137880792047459,0.152231240981241,0.152812850729517,0.153636964886965,0.142680174763508,0.151492704826038,0.154719416386083
"analcatdata_germangss",0.429166666666667,0.404166666666667,0.398333333333333,0.409166666666667,0.395833333333333,0.42,0.4075
"analcatdata_lawsuit",0.900166666666667,0.939972222222222,0.938,0.938694444444444,0.937305555555556,0.962888888888889,0.955916666666667
"appendicitis",0.728703703703704,0.74837962962963,0.755092592592593,0.745138888888889,0.725925925925926,0.716435185185185,0.72662037037037
"artificial-characters",0.381818392788604,0.568501712153379,0.565044142631095,0.564435441952491,0.563486021165949,0.569311916104914,0.565458279216985
"autoUniv-au1-1000",0.660718480334919,0.654620539401361,0.662532414395428,0.655019261622001,0.65864070287358,0.666932864371221,0.661193385165988
"autoUniv-au4-2500",0.42922761906589,0.429439644377055,0.428101284656865,0.426051895410927,0.429556746521648,0.440252034519282,0.428886589108841
"autoUniv-au6-1000",0.198579545454545,0.223450530950531,0.221164691789692,0.217786357161357,0.220192712380212,0.232884777259777,0.227611451048951
"autoUniv-au6-250-drift-au6-cd1-500",0.211936469032057,0.214806158574541,0.209623259025833,0.208331193588547,0.212640493697479,0.20427574502023,0.205862317149082
"autoUniv-au6-cd1-400",0.236140572390572,0.245138888888889,0.240132575757576,0.236264730639731,0.242207491582492,0.238223905723906,0.245469276094276
"autoUniv-au7-300-drift-au7-cpd1-800",0.355793845521265,0.349681745255939,0.354698267622461,0.350267119738087,0.350478892612764,0.346838884234046,0.357320025911961
"autoUniv-au7-700",0.565714285714286,0.540309523809524,0.544299663299663,0.537049062049062,0.529674603174603,0.530964886964887,0.542227753727754
