-1,2,4,11,2,0,0.49537037037037
-3,4,4,30,1,0,0.582384403036577
-2,5,3,3,1,0,0.499640556705774
-3,3,4,2,1,1,0.543593282723718
-2,5,4,24,2,0,0.582384403036577
-1,5,2,6,1,1,0.49537037037037
-2,2,2,16,1,0,0.564556015642972
-4,7,2,11,2,0,0.49537037037037
-1,4,2,8,2,1,0.49537037037037
-3,2,6,21,2,0,0.5
-4,5,3,20,1,1,0.569875776397516
-3,1,5,22,0,1,0.565691856452726
-2,1,4,6,1,1,0.582384403036577
-4,3,0,21,0,1,0.548381067402806
-3,3,3,26,1,0,0.557007706464228
-3,3,0,8,0,1,0.562298711755233
-1,2,4,4,1,1,0.49537037037037
-3,7,1,18,1,0,0.49537037037037
-3,1,4,19,0,0,0.582384403036577
-1,1,0,3,2,0,0.49537037037037
-2,2,6,8,0,1,0.5
-1,6,5,27,1,0,0.5
-1,1,1,20,1,1,0.49537037037037
-2,6,5,27,0,1,0.565691856452726
-1,5,3,3,2,1,0.49537037037037
-2,7,3,15,0,0,0.49537037037037
-1,6,1,24,1,0,0.49537037037037
-4,4,6,2,1,0,0.5
-4,4,5,9,0,1,0.565691856452726
-3,2,2,29,1,0,0.556619507706464
-3,4,1,10,2,0,0.551386013342535
-1,2,3,12,2,0,0.49537037037037
-1,6,6,19,1,0,0.5
-1,2,3,10,1,1,0.49537037037037
-1,4,4,24,2,1,0.49537037037037
-4,5,0,27,1,0,0.568581780538302
-3,5,0,8,2,1,0.568581780538302
-3,4,1,10,0,1,0.551386013342535
-4,1,1,13,1,0,0.474695192086496
-1,3,2,20,1,1,0.49537037037037
-1,4,5,29,1,0,0.5
-1,6,3,18,0,0,0.49537037037037
-1,6,4,22,0,1,0.49537037037037
-4,3,2,14,0,0,0.556619507706464
-2,2,1,10,2,1,0.502803657694962
-4,7,6,3,1,1,0.5
-3,1,1,12,0,1,0.479296066252588
-2,5,0,18,2,1,0.568581780538302
-1,7,2,16,2,1,0.49537037037037
-3,6,3,11,1,0,0.574534161490683
-4,7,2,27,1,0,0.49537037037037
-2,2,0,12,2,0,0.567589717046239
-2,6,6,30,0,1,0.5
-2,6,3,25,2,0,0.574534161490683
-4,7,5,9,2,1,0.528108465608466
-3,5,1,17,0,0,0.568581780538302
-3,2,0,2,0,1,0.541637911203129
-2,5,5,11,2,0,0.565691856452726
-4,5,6,21,1,1,0.5
-4,3,4,18,1,0,0.582384403036577
-3,6,1,30,1,1,0.574534161490683
-2,2,3,14,1,1,0.557007706464228
-2,4,0,14,2,0,0.569875776397516
-3,4,5,3,2,0,0.565691856452726
-2,5,5,15,1,0,0.565691856452726
-1,6,4,16,2,0,0.49537037037037
-1,3,5,27,1,0,0.5
-1,4,0,24,0,1,0.49537037037037
-3,1,4,6,1,0,0.582384403036577
-2,6,4,21,1,1,0.588336783988958
-2,5,5,17,2,1,0.565691856452726
-2,3,3,12,1,0,0.557007706464228
-4,7,3,25,0,0,0.49537037037037
-1,1,4,30,0,1,0.49537037037037
