-2,3,6,12,1,1,0.737104387872958
-3,4,4,24,1,0,0.839720298515316
-4,1,0,25,2,1,0.889958663622161
-3,3,5,8,1,0,0.803167151804988
-2,5,0,2,0,1,0.302202718228411
-4,2,0,29,2,0,0.887782917566137
-2,4,1,25,2,1,0.757111877014815
-4,7,4,12,0,1,0.788300289395969
-3,6,1,13,0,0,0.820823677404605
-3,3,4,15,0,0,0.839720298515316
-3,4,0,18,0,0,0.869593312800217
-2,3,6,4,0,0,0.5085707771043
-3,5,3,17,0,0,0.852823863641943
-2,1,1,7,0,0,0.748171539102
-2,3,6,30,1,1,0.737104387872958
-3,1,1,7,1,0,0.815385798606678
-1,5,5,1,1,1,0.194188449705254
-3,6,0,14,1,1,0.820823677404605
-3,4,0,24,1,0,0.869593312800217
-2,4,4,3,1,1,0.414320777440163
-2,4,4,11,1,1,0.757111877014815
-3,6,3,9,0,1,0.817257964431139
-1,6,2,28,2,1,0.224934017393407
-2,1,6,1,2,1,0.194188449705254
-2,3,4,13,1,1,0.757111877014815
-3,1,2,17,0,0,0.873942439113599
-4,3,4,5,0,1,0.654199355252319
-2,6,1,8,0,1,0.757111877014815
-4,5,1,9,0,0,0.842968271368987
-4,6,6,12,2,1,0.756363780376294
-2,5,6,15,1,1,0.737104387872958
-4,3,4,15,0,1,0.839654996356006
-3,6,4,14,0,1,0.815330914415185
-2,4,5,4,1,1,0.519140086499035
-1,4,3,8,1,0,0.224934017393407
-2,2,6,26,0,0,0.737104387872958
-1,7,4,17,1,1,0.224934017393407
-4,3,3,20,2,0,0.864805612270258
-4,4,6,13,1,0,0.756363780376294
-3,2,6,8,1,1,0.753672774078757
-4,3,6,23,0,0,0.756363780376294
-2,4,1,12,2,0,0.757111877014815
-1,2,5,30,2,0,0.224934017393407
-3,1,5,21,1,0,0.812786881429511
-1,6,6,20,1,1,0.224934017393407
-4,6,5,6,2,0,0.731114381240451
-2,5,0,30,2,1,0.757111877014815
-4,1,3,11,0,0,0.860889049035824
-4,2,1,8,2,1,0.844266589217693
-2,6,1,5,2,1,0.633155946095862
-4,6,3,10,2,1,0.818397273072603
-3,5,0,10,2,1,0.851108310412154
-2,3,6,25,0,1,0.737104387872958
-3,3,5,5,1,1,0.654220577764611
-3,2,4,23,2,1,0.839720298515316
-1,6,1,2,0,0,0.224934017393407
-4,1,4,13,0,0,0.839654996356006
-1,3,1,12,1,0,0.224934017393407
-3,3,1,16,0,1,0.873942439113599
-3,4,0,3,2,1,0.416154431952858
-1,7,2,12,0,0,0.224934017393407
-2,6,0,27,1,0,0.757111877014815
-3,3,2,21,0,0,0.873942439113599
-2,2,3,18,0,1,0.757111877014815
-1,7,3,11,2,0,0.224934017393407
-1,1,5,8,2,1,0.224934017393407
-1,6,0,17,1,0,0.224934017393407
-1,4,6,7,2,0,0.224934017393407
-3,5,2,15,0,1,0.855002884362045
-2,3,3,11,0,0,0.757111877014815
-1,6,0,12,2,0,0.224934017393407
-1,5,5,10,2,0,0.224934017393407
-2,5,5,28,2,0,0.757111877014815
-4,5,5,24,1,0,0.812786881429511
-3,4,0,7,0,0,0.813389790622646
-1,3,0,29,1,0,0.224934017393407
-3,2,4,18,2,1,0.839720298515316
-2,5,3,25,1,1,0.757111877014815
-3,3,1,27,0,1,0.873942439113599
-2,6,6,3,1,1,0.403751468045427
-3,1,0,23,2,1,0.873942439113599
-4,1,0,26,0,1,0.889958663622161
-3,6,2,17,1,1,0.820823677404605
-1,4,5,5,0,1,0.224934017393407
-3,4,2,2,1,1,0.302202718228411
-2,5,3,11,2,1,0.757111877014815
-1,2,6,11,0,0,0.224934017393407
-1,7,4,11,0,1,0.224934017393407
-2,3,3,20,2,0,0.757111877014815
-3,3,2,16,0,1,0.873942439113599
-1,6,6,25,0,1,0.224934017393407
-2,4,2,28,2,0,0.757111877014815
-1,4,5,18,0,0,0.224934017393407
-3,3,5,3,0,1,0.416154431952858
-1,6,2,11,1,0,0.224934017393407
-4,1,5,11,0,0,0.812786881429511
-1,7,4,3,2,0,0.224934017393407
-4,1,0,27,1,1,0.889958663622161
-2,2,4,27,0,1,0.757111877014815
-3,2,4,9,1,1,0.83181194787046
-4,1,6,13,0,1,0.756363780376294
-1,6,1,25,1,1,0.224934017393407
-3,7,1,12,2,0,0.794006963226828
-1,1,3,28,0,1,0.224934017393407
-1,3,4,21,2,1,0.224934017393407
-3,3,1,11,1,1,0.870004976046363
-3,4,2,25,1,1,0.869593312800217
-2,2,3,8,1,0,0.757111877014815
-4,5,2,20,0,1,0.854170552177356
-2,7,5,25,0,0,0.75251868245156
-2,6,6,12,2,1,0.737104387872958
-1,1,1,20,0,1,0.224934017393407
