-4,3,3,5,1,1,0.962059869954607
-1,1,0,29,0,0,0.962059869954607
-3,4,4,19,0,0,0.962059869954607
-2,1,0,12,1,0,0.962059869954607
-3,3,1,8,1,0,0.966435611172453
-3,6,0,1,2,0,0.549242424242424
-4,7,2,5,1,1,0.962059869954607
-2,4,5,7,0,0,0.962059869954607
-2,4,3,22,1,0,0.965622827464933
-1,6,4,18,2,0,0.962059869954607
-3,1,6,21,0,1,0.806739997347412
-2,6,2,6,0,1,0.962059869954607
-3,1,5,1,1,1,0.549242424242424
-4,3,5,29,0,1,0.962059869954607
-4,5,5,24,1,0,0.962059869954607
-4,2,5,5,1,1,0.962059869954607
-3,7,3,25,0,0,0.963322496217233
-3,6,1,7,1,1,0.965622827464933
-3,3,3,25,1,1,0.972748742485585
-2,3,3,6,2,0,0.963322496217233
-1,1,1,25,1,0,0.962059869954607
-4,7,0,25,2,0,0.9662106898949
-1,3,0,21,2,1,0.962059869954607
-4,5,6,14,1,0,0.806739997347412
-3,7,3,14,2,1,0.963322496217233
-2,1,3,30,0,1,0.965622827464933
-1,4,0,11,0,0,0.962059869954607
-4,1,5,5,1,0,0.962059869954607
-2,1,6,30,0,0,0.806739997347412
-3,6,0,14,1,1,0.9662106898949
-1,6,0,19,2,1,0.962059869954607
-1,5,6,30,2,0,0.745219938458932
-2,3,4,7,0,0,0.962059869954607
-3,4,0,22,1,1,0.9702768803646
-2,7,1,19,2,0,0.962059869954607
-3,6,5,4,1,1,0.962059869954607
-1,4,3,24,2,0,0.962059869954607
-1,4,4,29,1,0,0.962059869954607
-3,3,6,9,1,1,0.806739997347412
-2,2,1,4,1,1,0.962059869954607
-4,4,3,24,2,0,0.972748742485585
-2,5,4,1,2,0,0.549242424242424
-2,3,4,16,2,1,0.962059869954607
-3,7,0,5,0,0,0.964585122479859
-4,6,4,4,0,1,0.962059869954607
-3,2,5,29,0,0,0.962059869954607
-2,4,2,5,2,0,0.962059869954607
-4,3,6,28,0,0,0.806739997347412
