-3,2,3,18,0,0,0.733201506591337
-4,1,4,9,2,1,0.703135593220339
-3,4,3,5,1,0,0.615084745762712
-3,6,5,29,1,1,0.688822975517891
-1,7,6,20,0,0,0.310433145009416
-4,1,2,7,0,0,0.708549905838041
-4,2,0,8,1,0,0.711883239171375
-1,4,4,8,2,0,0.310433145009416
-4,6,5,17,0,1,0.692156308851224
-3,4,0,25,2,1,0.714293785310735
-1,2,6,19,2,0,0.310433145009416
-1,2,6,15,1,0,0.310433145009416
-3,2,6,24,2,0,0.669708097928437
-4,5,6,16,0,0,0.671967984934087
-3,5,2,28,2,0,0.713210922787194
-3,2,2,30,2,1,0.724943502824859
-2,7,0,6,0,0,0.639425612052731
-1,3,2,5,0,0,0.310433145009416
-3,6,0,25,0,0,0.720404896421846
-2,6,5,21,1,1,0.683662900188324
-3,4,4,9,2,1,0.7019868173258
-4,4,0,24,1,0,0.706337099811676
-4,2,1,22,1,1,0.723738229755179
-3,2,6,30,0,1,0.669708097928437
-4,1,6,7,1,0,0.671967984934087
-4,4,6,9,2,0,0.671967984934087
-1,5,6,11,2,1,0.310433145009416
-2,2,4,5,2,0,0.593898305084746
-4,3,4,13,0,0,0.703135593220339
-1,6,0,24,2,0,0.310433145009416
-1,1,2,5,2,0,0.310433145009416
-3,7,4,17,2,1,0.697033898305085
-2,5,0,16,1,1,0.685470809792844
-4,1,0,25,0,0,0.724811676082862
-1,3,2,16,0,0,0.310433145009416
-4,6,2,18,2,1,0.718210922787194
-2,2,6,10,1,1,0.67153483992467
-2,4,3,4,0,0,0.525028248587571
-1,7,3,10,0,1,0.310433145009416
-3,2,2,14,2,0,0.724943502824859
-2,6,6,13,1,1,0.67153483992467
-2,7,3,2,2,0,0.279877589453861
-1,4,2,30,0,1,0.310433145009416
-2,1,2,29,1,0,0.685470809792844
-3,5,5,10,0,1,0.688822975517891
-1,7,4,19,1,1,0.310433145009416
-1,6,0,13,0,1,0.310433145009416
-1,6,2,19,1,1,0.310433145009416
-1,3,4,11,2,0,0.310433145009416
-3,2,4,15,0,1,0.7019868173258
-3,6,0,7,1,0,0.7084934086629
-1,1,2,6,1,0,0.310433145009416
-4,2,4,25,1,1,0.703135593220339
-1,4,0,17,2,1,0.310433145009416
-1,5,5,18,0,0,0.310433145009416
-2,6,5,15,0,0,0.683662900188324
-4,2,0,17,0,1,0.720357815442561
-1,3,1,14,0,1,0.310433145009416
-2,4,1,23,2,1,0.685470809792844
-2,2,1,8,1,1,0.685470809792844
-2,2,1,24,0,0,0.685470809792844
-4,6,4,4,1,1,0.535103578154426
-2,5,6,4,2,1,0.523870056497175
-4,1,0,8,0,0,0.713549905838041
-3,7,2,29,1,0,0.705338983050847
-1,6,3,20,1,0,0.310433145009416
-1,2,2,26,0,0,0.310433145009416
-2,1,0,29,0,1,0.685470809792844
-4,4,2,4,2,1,0.535084745762712
-4,4,3,23,0,1,0.727071563088512
-2,7,1,24,2,1,0.685470809792844
-3,1,1,1,0,0,0.191111111111111
-1,7,6,3,2,1,0.310433145009416
-2,3,1,3,1,0,0.412580037664783
-2,7,5,18,1,1,0.683662900188324
-1,2,6,21,1,1,0.310433145009416
-2,7,6,13,0,1,0.67153483992467
-4,4,0,2,1,1,0.279877589453861
-1,6,0,14,1,0,0.310433145009416
-4,4,6,27,0,0,0.671967984934087
-4,7,5,27,0,0,0.693220338983051
-4,5,2,27,0,0,0.709877589453861
-1,3,6,14,1,0,0.310433145009416
-3,2,3,20,2,1,0.733201506591337
-3,6,5,6,2,0,0.647598870056497
-3,2,5,6,2,0,0.647598870056497
-3,3,4,22,2,1,0.7019868173258
-4,5,4,9,2,0,0.703135593220339
-2,7,4,15,2,1,0.68695856873823
-3,1,0,6,0,0,0.669048964218456
-2,4,5,25,1,1,0.683662900188324
-2,5,0,21,1,0,0.685470809792844
-3,7,3,19,2,0,0.702005649717514
-1,5,5,29,0,1,0.310433145009416
-1,5,0,30,2,0,0.310433145009416
-1,6,0,15,0,0,0.310433145009416
-2,5,5,15,1,0,0.683662900188324
-3,4,5,15,2,1,0.688822975517891
-1,2,3,3,0,0,0.310433145009416
-1,2,3,18,0,1,0.310433145009416
-4,2,4,29,0,1,0.703135593220339
-4,2,0,30,0,1,0.720357815442561
-3,1,3,13,2,0,0.733201506591337
-2,5,1,17,0,0,0.685470809792844
-1,7,0,8,2,0,0.310433145009416
-4,7,2,16,1,0,0.705338983050847
-2,7,2,28,1,0,0.685470809792844
-3,4,1,3,1,1,0.411431261770245
-4,1,1,15,0,1,0.72316384180791
-1,6,2,30,0,0,0.310433145009416
-3,2,2,7,1,0,0.706883239171375
-1,6,4,30,1,1,0.310433145009416
-2,1,1,14,1,1,0.685470809792844
-1,6,6,13,1,0,0.310433145009416
-3,7,3,28,2,1,0.702005649717514
-2,3,1,23,0,0,0.685470809792844
-4,4,3,7,0,0,0.720838041431262
-2,6,1,2,0,1,0.279877589453861
-1,6,1,26,0,0,0.310433145009416
-3,1,4,27,0,0,0.7019868173258
-4,1,6,18,1,0,0.671967984934087
-4,2,0,9,1,0,0.718757062146893
-2,4,0,19,0,1,0.685470809792844
-1,1,0,9,1,0,0.310433145009416
-2,4,1,26,0,0,0.685470809792844
-1,5,5,11,1,1,0.310433145009416
-1,3,6,1,2,1,0.191111111111111
-1,5,1,6,2,0,0.310433145009416
-1,4,5,18,0,0,0.310433145009416
-3,3,4,19,1,0,0.7019868173258
-1,6,5,21,1,0,0.310433145009416
-2,5,6,28,1,1,0.67153483992467
-4,1,2,19,2,1,0.72153483992467
-2,3,6,26,0,0,0.67153483992467
-1,6,0,26,1,1,0.310433145009416
-4,2,1,17,2,1,0.723738229755179
-2,1,3,6,1,1,0.639020715630885
-1,4,4,11,2,0,0.310433145009416
-2,5,0,29,1,1,0.685470809792844
-1,7,4,5,0,0,0.310433145009416
-2,1,2,14,0,0,0.685470809792844
-4,4,4,26,0,0,0.703135593220339
-3,2,6,10,1,0,0.669708097928437
-4,4,4,3,1,0,0.4119868173258
-3,4,6,12,0,1,0.669708097928437
-4,2,0,24,0,1,0.720357815442561
-1,7,3,14,2,1,0.310433145009416
-4,3,5,11,2,1,0.692156308851224
-1,2,2,11,2,1,0.310433145009416
-3,7,6,5,1,0,0.584585687382298
-3,2,3,18,0,0,0.739858757062147
-4,1,4,9,2,1,0.721497175141243
-3,4,3,5,1,0,0.648126177024482
-3,6,5,29,1,1,0.696129943502825
-1,7,6,20,0,0,0.285536723163842
-4,1,2,7,0,0,0.734783427495292
-4,2,0,8,1,0,0.751647834274953
-1,4,4,8,2,0,0.285536723163842
-4,6,5,17,0,1,0.702796610169492
-3,4,0,25,2,1,0.746553672316384
-1,2,6,19,2,0,0.285536723163842
-1,2,6,15,1,0,0.285536723163842
-3,2,6,24,2,0,0.674077212806026
-4,5,6,16,0,0,0.674077212806026
-3,5,2,28,2,0,0.731035781544256
-3,2,2,30,2,1,0.747749529190207
-2,7,0,6,0,0,0.664133709981168
-1,3,2,5,0,0,0.285536723163842
-3,6,0,25,0,0,0.726553672316384
-2,6,5,21,1,1,0.691393596986817
-3,4,4,9,2,1,0.71710922787194
-4,4,0,24,1,0,0.725866290018832
-4,2,1,22,1,1,0.731450094161959
-3,2,6,30,0,1,0.674077212806026
-4,1,6,7,1,0,0.674077212806026
-4,4,6,9,2,0,0.674077212806026
-1,5,6,11,2,1,0.285536723163842
-2,2,4,5,2,0,0.616403013182674
-4,3,4,13,0,0,0.721497175141243
-1,6,0,24,2,0,0.285536723163842
-1,1,2,5,2,0,0.285536723163842
-3,7,4,17,2,1,0.713775894538606
-2,5,0,16,1,1,0.698719397363465
-4,1,0,25,0,0,0.728672316384181
-1,3,2,16,0,0,0.285536723163842
-4,6,2,18,2,1,0.723154425612053
-2,2,6,10,1,1,0.674077212806026
-2,4,3,4,0,0,0.554538606403013
-1,7,3,10,0,1,0.285536723163842
-3,2,2,14,2,0,0.747749529190207
-2,6,6,13,1,1,0.674077212806026
-2,7,3,2,2,0,0.285536723163842
-1,4,2,30,0,1,0.285536723163842
-2,1,2,29,1,0,0.698719397363465
