-3,3,3,5,1,0,0.622222222222222
-1,4,6,10,1,1,0.5
-2,2,2,23,2,1,0.645767195767196
-4,3,4,27,1,1,0.621957671957672
-3,1,6,30,2,0,0.635714285714286
-3,4,6,12,1,1,0.635714285714286
-1,7,0,11,2,1,0.5
-1,1,0,10,2,1,0.5
-1,1,6,1,0,0,0.5
-2,7,1,28,0,1,0.607407407407407
-4,7,1,29,1,1,0.607407407407407
-3,6,2,11,1,0,0.603968253968254
-2,5,6,28,0,1,0.635714285714286
-3,2,2,21,0,1,0.631481481481482
-2,1,5,14,2,0,0.621957671957672
-2,2,4,6,0,0,0.604761904761905
-4,4,0,17,2,1,0.624867724867725
-2,4,3,29,2,0,0.644444444444444
-4,2,0,14,0,1,0.614285714285714
-4,1,2,13,2,0,0.630687830687831
-2,2,5,8,0,0,0.621957671957672
-4,6,2,11,0,1,0.603968253968254
-2,4,1,9,2,0,0.635978835978836
-4,1,3,21,0,1,0.630952380952381
-2,5,4,11,1,0,0.621428571428571
-4,7,0,19,1,0,0.607407407407407
-3,3,3,19,1,0,0.630952380952381
-1,3,3,14,2,1,0.5
-2,1,0,5,1,1,0.624338624338624
-3,4,2,16,0,0,0.622751322751323
-2,5,4,3,2,1,0.577248677248677
-2,7,4,9,0,1,0.599206349206349
-4,3,2,12,0,1,0.627248677248677
-4,2,4,13,1,0,0.621957671957672
-3,5,5,1,0,1,0.5
-4,7,4,14,2,0,0.599206349206349
-1,6,2,14,0,1,0.5
-2,1,3,9,2,1,0.642592592592593
-4,6,2,30,0,0,0.603968253968254
-2,7,3,26,0,0,0.605820105820106
-2,4,0,16,2,1,0.641005291005291
-3,3,5,17,0,0,0.61031746031746
-3,4,2,30,2,0,0.621957671957672
-3,4,1,11,0,0,0.624074074074074
-2,6,3,27,2,1,0.614285714285714
-1,6,5,17,0,0,0.5
-4,3,6,19,1,0,0.635714285714286
-4,5,0,30,2,0,0.624603174603175
-2,6,4,4,0,0,0.604497354497354
-2,7,0,15,2,1,0.607407407407407
-1,5,2,6,1,0,0.5
-4,7,0,20,0,0,0.607407407407407
-2,3,1,9,1,1,0.637037037037037
-1,4,6,27,0,1,0.5
-4,1,1,1,0,1,0.5
-4,5,6,17,2,1,0.635714285714286
-3,2,4,4,2,1,0.604232804232804
-4,3,6,7,2,0,0.635714285714286
-1,7,0,14,2,0,0.5
-3,5,3,25,1,1,0.624603174603175
-4,1,0,16,0,1,0.604232804232804
-2,7,3,20,0,0,0.605820105820106
-1,7,3,10,0,1,0.5
-1,6,2,24,2,1,0.5
-1,4,5,6,0,0,0.5
-3,1,1,9,1,1,0.615343915343915
-1,6,3,26,1,1,0.5
-1,4,0,22,0,1,0.5
-3,7,4,21,0,1,0.599206349206349
-3,1,0,1,0,0,0.5
-3,4,5,1,0,1,0.5
-1,1,3,6,2,1,0.5
-2,4,4,22,0,0,0.620634920634921
-4,1,2,29,2,1,0.630687830687831
-2,4,5,26,0,1,0.621957671957672
-4,6,6,2,1,0,0.656349206349206
-2,5,3,4,0,1,0.608994708994709
-1,7,6,20,2,0,0.5
-3,2,2,9,1,1,0.627248677248677
-2,3,5,30,2,1,0.621957671957672
-4,7,3,25,0,1,0.605820105820106
-2,4,6,15,1,1,0.635714285714286
