15.234473891903367,X1
14.231319210745054,X2
10.980913024086263,X2 x X1
4.03984872237104,X0
4.028976499528797,X3
3.8406585946370155,X3 x X2
2.7314020686831015,X3 x X1
2.728634543091566,X1 x X0
2.62311373055034,X2 x X0
1.3010162203898805,X3 x X0
0.5740633297985756,X4 x X1
0.40308551238846885,X4 x X3
0.3635933371202778,X4 x X2
0.2565457412391313,X4 x X0
0.219228757399744,X4
0.19004259909778862,X5 x X3
0.18225444482002337,X5
0.1392553929375509,X5 x X2
0.1278399435150807,X5 x X1
0.07701456724304069,X5 x X0
0.022794012679587198,X5 x X4
