47.163588518403294,X0
36.02208777845417,X3
3.2051287869144858,X2 x X0
2.7716969593574348,X3 x X0
1.6448064818018155,X2
0.8986277076268722,X3 x X2
0.8970633894734137,X1
0.7579383407302089,X2 x X1
0.3687463816084483,X3 x X1
0.27086368904766916,X1 x X0
0.09030549570099682,X4 x X3
0.07238872286729854,X4 x X0
0.062337441349597164,X4 x X2
0.03340557618860551,X5 x X3
0.030381711717193928,X4
0.029128215540784663,X4 x X1
0.023905496150282424,X5 x X0
0.02169576097490677,X5 x X2
0.021646549176208618,X5 x X1
0.016328434319654264,X5
0.003294819995412535,X5 x X4
