51.757572164712066,X0
40.916085028554576,X3
3.8432917434079954,X3 x X0
0.9920466394007927,X2 x X0
0.926354970954544,X2
0.24471136721937134,X3 x X2
0.2334410817227576,X1 x X0
0.21059374051696628,X1
0.08550355617870081,X3 x X1
0.06606218824836357,X2 x X1
0.027222891192525273,X4 x X3
0.009498863505377184,X5 x X3
0.004853458146593114,X4 x X0
0.004203795202307103,X5 x X0
0.002745162290039368,X4
0.002594078050519848,X5 x X2
0.002491682383314795,X4 x X2
0.002217928909802016,X5
0.0016830033581640192,X4 x X1
0.0014505180369415646,X5 x X1
0.00027470619802845707,X5 x X4
