data.id,OpenML.name,UCI.name
1455,acute-inflammations,acute-inflammations-nephritis
458,analcatdata_autorship,analcatdata_authorship
448,analcatdata_boxing1,analcatdata_boxing1
444,analcatdata_boxing2,analcatdata_boxing2
461,analcatdata_creditscore,analcatdata_creditscore
469,analcatdata_dmft,analcatdata_dmft
475,analcatdata_germangss,analcatdata_germangss
450,analcatdata_lawsuit,analcatdata_lawsuit
1456,appendicitis,appendicitis
1459,artificial-characters,artificial-characters
1547,autoUniv-au1-1000,autoUniv-au1-1000
1548,autoUniv-au4-2500,autoUniv-au4-2500
1555,autoUniv-au6-1000,autoUniv-au6-1000
1549,autoUniv-au6-750,autoUniv-au6-250-drift-au6-cd1-500
1551,autoUniv-au6-400,autoUniv-au6-cd1-400
1552,autoUniv-au7-1100,autoUniv-au7-300-drift-au7-cpd1-800
1553,autoUniv-au7-700,autoUniv-au7-700
1554,autoUniv-au7-500,autoUniv-au7-cpd1-500
463,backache,backache
11,balance-scale,balance-scale
1460,banana,banana
1461,bank-marketing,bank-marketing
1462,banknote-authentication,banknote-authentication
1464,blood-transfusion-service-center,blood-transfusion-service
15,breast-w,breast-cancer-wisconsin
1465,breast-tissue,breast-tissue-6class
8,liver-disorders,bupa
21,car,car-evaluation
1560,cardiotocography-v2,cardiotocography-3class
1467,climate-model-simulation-crashes,climate-simulation-crashes
210,cloud,cloud
23,cmc,cmc
40,sonar,connectionist-mines-vs-rocks
307,vowel,connectionist-vowel
35,dermatology,dermatology
1473,fertility,fertility-diagnosis
1475,first-order-theorem-proving,first-order-theorem
173,solar-flare,flare
43,haberman,habermans-survival
329,hayes-roth,hayes-roth
49,heart-c,heart-disease-processed-cleveland
51,heart-h,heart-disease-processed-hungarian
1512,heart-long-beach,heart-disease-processed-va
1565,heart-h-v3,heart-disease-reprocessed-hungarian
55,hepatitis,hepatitis
1479,hill-valley,hill-valley-with-noise
25,colic,horse-colic-surgical
1480,ilpd,indian-liver-patient
59,ionosphere,ionosphere
61,iris,iris
3,kr-vs-kp,kr-vs-kp
40496,LED-display-domain-7digit,led7digit
1484,lsvt,lsvt-voice-rehabilitation
310,mammography,mammographic-mass
566,meta,meta-data
14,mfeat-fourier,mfeat-fourier
1514,micro-mass,micro-mass-mixed-spectra
164,molecular-biology-promoters,molecular-promotor-gene
46,splice,molecular-splice-junction
333,monks-problems-1,monks1
334,monks-problems-2,monks2
335,monks-problems-3,monks3
40736,libras_move_v2,movement-libras
12,mfeat-factors,multiple-features
24,mushroom,mushroom
1568,nursery-v3,nursery-4class
28,optdigits,optdigits
1487,ozone-level-8hr,ozone-eighthr
40735,ozone_level_v2,ozone-onehr
30,page-blocks,page-blocks
1488,parkinsons,parkinsons
1489,phoneme,phoneme
1491,one-hundred-plants-margin,plant-species-leaves-margin
1492,one-hundred-plants-shape,plant-species-leaves-shape
1493,one-hundred-plants-texture,plant-species-leaves-texture
1526,wall-robot-navigation-v3,robot-nav-sensor-readings-4
1498,sa-heart,saheart
1499,seeds,seeds
1501,semeion,semeion
31,credit-g,statlog-german-credit
53,heart-statlog,statlog-heart
36,segment,statlog-image-segmentation
40734,satellite_image,statlog-landsat-satellite
54,vehicle,statlog-vehicle-silhouettes
1504,steel-plates-fault,steel-plates-faults
48,tae,teaching-assistant-evaluation
40499,texture,texture
1506,thoracic-surgery,thoracic-surgery
40474,thyroid-allbp,thyroid-allbp
40475,thyroid-allhyper,thyroid-allhyper
1508,user-knowledge,user-knowledge
1523,vertebra-column,vertebra-column-3c
187,wine,wine
40733,yeast_v7,yeast-4class
